Date,Actual,Forecast,Uncertainty_Std
2019-05-23,0.1149007415441164,0.12716267,0.010090615
2019-05-24,0.11327846093279,0.13151498,0.010368923
2019-05-28,0.1146568334445157,0.13302025,0.009043612
2019-05-29,0.1149280224125124,0.13857546,0.010736453
2019-05-30,0.1148183090870894,0.13999738,0.010570086
2019-05-31,0.1203161832201747,0.13887501,0.010699063
2019-06-03,0.1122625652258536,0.14629626,0.010398396
2019-06-04,0.1389854213039664,0.15252611,0.011400354
2019-06-05,0.1333413463593943,0.14586076,0.01281028
2019-06-06,0.1354231014259167,0.15159026,0.012695647
2019-06-07,0.1400516631542478,0.14953355,0.010003034
2019-06-10,0.1403776348403208,0.14398834,0.012459495
2019-06-11,0.1113094745632061,0.14232707,0.011401461
2019-06-12,0.1093366605707636,0.13306053,0.011027423
2019-06-13,0.1085853521781169,0.13217705,0.011997796
2019-06-14,0.1051063883227203,0.12716183,0.010299295
2019-06-17,0.1030663806972923,0.12139924,0.009920219
2019-06-18,0.1039719467556812,0.11665582,0.0093459645
2019-06-19,0.101305614176161,0.11186922,0.009148619
2019-06-20,0.1038463179648066,0.10833205,0.011154202
2019-06-21,0.093633236704314,0.105085365,0.010564901
2019-06-24,0.0944623580806956,0.10239354,0.010594582
2019-06-25,0.0958833591815916,0.09870819,0.010526613
2019-06-26,0.0917836619764622,0.095092356,0.010646876
2019-06-27,0.0919079539366439,0.084974095,0.007902248
2019-06-28,0.0761741151693757,0.07863656,0.0078095966
2019-07-01,0.0745535766806169,0.06466379,0.009997633
2019-07-02,0.0503914231241284,0.05718068,0.0071353246
2019-07-03,0.0499711163850118,0.050112303,0.007923115
2019-07-05,0.0507473208912825,0.045925163,0.008409555
2019-07-08,0.0489759570626543,0.044855896,0.00736333
2019-07-09,0.048202766837922,0.045889065,0.006998705
2019-07-10,0.0485231320458379,0.0429567,0.00624507
2019-07-11,0.0471163664604496,0.04523488,0.0071675493
2019-07-12,0.0473322936512307,0.045976467,0.0078107375
2019-07-15,0.0464124259640852,0.048890248,0.0072381105
2019-07-16,0.048979118379993,0.046024784,0.007026974
2019-07-17,0.0489110121204512,0.04491183,0.0065708323
2019-07-18,0.0491356155612084,0.048132844,0.007908784
2019-07-19,0.046763336770973,0.04827492,0.0074953767
2019-07-22,0.0469873907463378,0.049252942,0.008836919
